
Training Epoch: [1 | 200] LR: 0.000100
[epoch: 1] (1/391) | Loss: 2.5868 | top1: 7.8125 | top5: 49.2188 
[epoch: 1] (11/391) | Loss: 2.2776 | top1: 14.0625 | top5: 57.2443 
[epoch: 1] (21/391) | Loss: 2.1762 | top1: 15.1786 | top5: 57.8869 
[epoch: 1] (31/391) | Loss: 2.1005 | top1: 17.8679 | top5: 63.1300 
[epoch: 1] (41/391) | Loss: 2.0266 | top1: 21.7035 | top5: 68.9215 
[epoch: 1] (51/391) | Loss: 1.9769 | top1: 24.8928 | top5: 72.4418 
[epoch: 1] (61/391) | Loss: 1.9368 | top1: 27.4462 | top5: 75.1921 
[epoch: 1] (71/391) | Loss: 1.9123 | top1: 29.0713 | top5: 77.0687 
[epoch: 1] (81/391) | Loss: 1.8838 | top1: 30.8256 | top5: 78.5301 
[epoch: 1] (91/391) | Loss: 1.8551 | top1: 32.5292 | top5: 79.7905 
[epoch: 1] (101/391) | Loss: 1.8356 | top1: 33.6402 | top5: 80.8014 
[epoch: 1] (111/391) | Loss: 1.8120 | top1: 34.8677 | top5: 81.6934 
[epoch: 1] (121/391) | Loss: 1.7936 | top1: 35.7373 | top5: 82.4832 
[epoch: 1] (131/391) | Loss: 1.7773 | top1: 36.4981 | top5: 83.2001 
[epoch: 1] (141/391) | Loss: 1.7636 | top1: 37.1565 | top5: 83.7434 
[epoch: 1] (151/391) | Loss: 1.7474 | top1: 37.9346 | top5: 84.2301 
[epoch: 1] (161/391) | Loss: 1.7339 | top1: 38.6161 | top5: 84.7098 
[epoch: 1] (171/391) | Loss: 1.7220 | top1: 39.2407 | top5: 85.0877 
[epoch: 1] (181/391) | Loss: 1.7092 | top1: 39.9258 | top5: 85.4325 
[epoch: 1] (191/391) | Loss: 1.6984 | top1: 40.3919 | top5: 85.8475 
[epoch: 1] (201/391) | Loss: 1.6875 | top1: 40.8738 | top5: 86.1707 
[epoch: 1] (211/391) | Loss: 1.6791 | top1: 41.2841 | top5: 86.4522 
[epoch: 1] (221/391) | Loss: 1.6684 | top1: 41.7173 | top5: 86.7647 
[epoch: 1] (231/391) | Loss: 1.6581 | top1: 42.2010 | top5: 87.0570 
[epoch: 1] (241/391) | Loss: 1.6493 | top1: 42.5603 | top5: 87.3055 
[epoch: 1] (251/391) | Loss: 1.6408 | top1: 42.9688 | top5: 87.4751 
[epoch: 1] (261/391) | Loss: 1.6304 | top1: 43.4507 | top5: 87.7006 
[epoch: 1] (271/391) | Loss: 1.6204 | top1: 43.8509 | top5: 87.9238 
[epoch: 1] (281/391) | Loss: 1.6116 | top1: 44.1559 | top5: 88.1478 
[epoch: 1] (291/391) | Loss: 1.6035 | top1: 44.5232 | top5: 88.3430 
[epoch: 1] (301/391) | Loss: 1.5967 | top1: 44.7960 | top5: 88.5356 
[epoch: 1] (311/391) | Loss: 1.5907 | top1: 45.0789 | top5: 88.6656 
[epoch: 1] (321/391) | Loss: 1.5837 | top1: 45.3320 | top5: 88.8264 
[epoch: 1] (331/391) | Loss: 1.5781 | top1: 45.5532 | top5: 88.9823 
[epoch: 1] (341/391) | Loss: 1.5728 | top1: 45.7890 | top5: 89.0923 
[epoch: 1] (351/391) | Loss: 1.5656 | top1: 46.1093 | top5: 89.2561 
[epoch: 1] (361/391) | Loss: 1.5597 | top1: 46.3599 | top5: 89.3871 
