
Training Epoch: [1 | 200] LR: 0.050000
[epoch: 1] (1/391) | Loss: 2.6139 | top1: 11.7188 | top5: 55.4688 
[epoch: 1] (11/391) | Loss: 2.7377 | top1: 11.1506 | top5: 54.9716 
[epoch: 1] (21/391) | Loss: 2.7533 | top1: 10.9375 | top5: 53.2738 
[epoch: 1] (31/391) | Loss: 2.6498 | top1: 13.1300 | top5: 57.0565 
[epoch: 1] (41/391) | Loss: 2.5276 | top1: 15.7965 | top5: 63.1479 
[epoch: 1] (51/391) | Loss: 2.4666 | top1: 17.9228 | top5: 65.5484 
[epoch: 1] (61/391) | Loss: 2.3979 | top1: 19.6337 | top5: 67.8919 
[epoch: 1] (71/391) | Loss: 2.3454 | top1: 21.6879 | top5: 70.0044 
[epoch: 1] (81/391) | Loss: 2.3035 | top1: 22.8009 | top5: 71.6339 
[epoch: 1] (91/391) | Loss: 2.2768 | top1: 23.8410 | top5: 72.8880 
[epoch: 1] (101/391) | Loss: 2.2343 | top1: 24.9226 | top5: 74.3270 
[epoch: 1] (111/391) | Loss: 2.1961 | top1: 26.4710 | top5: 75.5912 
[epoch: 1] (121/391) | Loss: 2.1698 | top1: 27.3696 | top5: 76.7239 
[epoch: 1] (131/391) | Loss: 2.1435 | top1: 28.0773 | top5: 77.3080 
[epoch: 1] (141/391) | Loss: 2.1215 | top1: 28.9118 | top5: 78.1084 
[epoch: 1] (151/391) | Loss: 2.1064 | top1: 29.7134 | top5: 78.8442 
[epoch: 1] (161/391) | Loss: 2.0960 | top1: 30.4348 | top5: 79.6002 
[epoch: 1] (171/391) | Loss: 2.0804 | top1: 31.1723 | top5: 80.1672 
[epoch: 1] (181/391) | Loss: 2.0692 | top1: 31.4917 | top5: 80.5896 
[epoch: 1] (191/391) | Loss: 2.0586 | top1: 31.8431 | top5: 81.0537 
[epoch: 1] (201/391) | Loss: 2.0484 | top1: 32.2023 | top5: 81.4132 
[epoch: 1] (211/391) | Loss: 2.0389 | top1: 32.5163 | top5: 81.6980 
[epoch: 1] (221/391) | Loss: 2.0330 | top1: 32.6428 | top5: 81.8651 
[epoch: 1] (231/391) | Loss: 2.0169 | top1: 33.0222 | top5: 82.1665 
[epoch: 1] (241/391) | Loss: 2.0009 | top1: 33.5095 | top5: 82.4786 
[epoch: 1] (251/391) | Loss: 1.9899 | top1: 33.9237 | top5: 82.8716 
[epoch: 1] (261/391) | Loss: 1.9724 | top1: 34.3930 | top5: 83.2316 
[epoch: 1] (271/391) | Loss: 1.9590 | top1: 34.7555 | top5: 83.5909 
[epoch: 1] (281/391) | Loss: 1.9440 | top1: 35.3147 | top5: 83.9024 
[epoch: 1] (291/391) | Loss: 1.9299 | top1: 35.7523 | top5: 84.2032 
[epoch: 1] (301/391) | Loss: 1.9151 | top1: 36.2022 | top5: 84.5515 
[epoch: 1] (311/391) | Loss: 1.9025 | top1: 36.5253 | top5: 84.7970 
[epoch: 1] (321/391) | Loss: 1.8947 | top1: 36.6871 | top5: 84.8910 
[epoch: 1] (331/391) | Loss: 1.8857 | top1: 36.9996 | top5: 85.0784 
[epoch: 1] (341/391) | Loss: 1.8824 | top1: 37.3098 | top5: 85.2777 
[epoch: 1] (351/391) | Loss: 1.8752 | top1: 37.6580 | top5: 85.4834 
[epoch: 1] (361/391) | Loss: 1.8667 | top1: 37.7900 | top5: 85.5761 
[epoch: 1] (371/391) | Loss: 1.8575 | top1: 37.8896 | top5: 85.5711 
[epoch: 1] (381/391) | Loss: 1.8481 | top1: 38.1316 | top5: 85.7263 
[epoch: 1] (391/391) | Loss: 1.8377 | top1: 38.4120 | top5: 85.9180 

Training Epoch: [2 | 200] LR: 0.050000
[epoch: 2] (1/391) | Loss: 1.6152 | top1: 46.8750 | top5: 94.5312 
[epoch: 2] (11/391) | Loss: 1.4101 | top1: 49.5739 | top5: 93.4659 
[epoch: 2] (21/391) | Loss: 1.3899 | top1: 51.7485 | top5: 93.4896 
[epoch: 2] (31/391) | Loss: 1.3934 | top1: 51.0585 | top5: 93.5736 
[epoch: 2] (41/391) | Loss: 1.3989 | top1: 51.3338 | top5: 93.7881 
[epoch: 2] (51/391) | Loss: 1.3950 | top1: 51.6085 | top5: 93.5509 
[epoch: 2] (61/391) | Loss: 1.3823 | top1: 51.8827 | top5: 93.8397 
[epoch: 2] (71/391) | Loss: 1.3633 | top1: 52.4098 | top5: 93.8600 
[epoch: 2] (81/391) | Loss: 1.3650 | top1: 52.3438 | top5: 93.8850 
[epoch: 2] (91/391) | Loss: 1.3733 | top1: 52.1291 | top5: 93.8359 
[epoch: 2] (101/391) | Loss: 1.3711 | top1: 52.0730 | top5: 93.9743 
[epoch: 2] (111/391) | Loss: 1.3659 | top1: 52.1326 | top5: 94.1160 
[epoch: 2] (121/391) | Loss: 1.3668 | top1: 52.3438 | top5: 94.0987 
[epoch: 2] (131/391) | Loss: 1.3565 | top1: 52.7910 | top5: 94.2569 
[epoch: 2] (141/391) | Loss: 1.3532 | top1: 53.0530 | top5: 94.2875 
[epoch: 2] (151/391) | Loss: 1.3512 | top1: 53.1819 | top5: 94.2726 
[epoch: 2] (161/391) | Loss: 1.3518 | top1: 52.9066 | top5: 94.2644 
[epoch: 2] (171/391) | Loss: 1.3572 | top1: 52.8052 | top5: 94.2663 
[epoch: 2] (181/391) | Loss: 1.3571 | top1: 52.7754 | top5: 94.2162 
[epoch: 2] (191/391) | Loss: 1.3541 | top1: 52.8100 | top5: 94.3022 
[epoch: 2] (201/391) | Loss: 1.3497 | top1: 52.9618 | top5: 94.3019 
[epoch: 2] (211/391) | Loss: 1.3459 | top1: 53.0880 | top5: 94.3609 
[epoch: 2] (221/391) | Loss: 1.3415 | top1: 53.3265 | top5: 94.3863 
[epoch: 2] (231/391) | Loss: 1.3379 | top1: 53.4970 | top5: 94.4264 
[epoch: 2] (241/391) | Loss: 1.3350 | top1: 53.6761 | top5: 94.4664 
[epoch: 2] (251/391) | Loss: 1.3301 | top1: 53.8627 | top5: 94.5032 
[epoch: 2] (261/391) | Loss: 1.3286 | top1: 54.0350 | top5: 94.4983 
[epoch: 2] (271/391) | Loss: 1.3268 | top1: 54.1426 | top5: 94.5370 
[epoch: 2] (281/391) | Loss: 1.3205 | top1: 54.3845 | top5: 94.6147 
[epoch: 2] (291/391) | Loss: 1.3168 | top1: 54.4996 | top5: 94.6494 
[epoch: 2] (301/391) | Loss: 1.3133 | top1: 54.6564 | top5: 94.6740 
[epoch: 2] (311/391) | Loss: 1.3115 | top1: 54.8533 | top5: 94.7247 
[epoch: 2] (321/391) | Loss: 1.3083 | top1: 54.9820 | top5: 94.7576 
[epoch: 2] (331/391) | Loss: 1.3033 | top1: 55.1761 | top5: 94.7980 
[epoch: 2] (341/391) | Loss: 1.2988 | top1: 55.3405 | top5: 94.8405 
[epoch: 2] (351/391) | Loss: 1.2992 | top1: 55.3998 | top5: 94.8785 
[epoch: 2] (361/391) | Loss: 1.2951 | top1: 55.5358 | top5: 94.9316 
[epoch: 2] (371/391) | Loss: 1.2923 | top1: 55.6520 | top5: 94.9735 
[epoch: 2] (381/391) | Loss: 1.2891 | top1: 55.8091 | top5: 95.0049 
[epoch: 2] (391/391) | Loss: 1.2847 | top1: 55.9860 | top5: 95.0420 

Training Epoch: [3 | 200] LR: 0.050000
[epoch: 3] (1/391) | Loss: 1.2668 | top1: 65.6250 | top5: 96.8750 
[epoch: 3] (11/391) | Loss: 1.0883 | top1: 64.9858 | top5: 97.1591 
[epoch: 3] (21/391) | Loss: 1.0805 | top1: 64.5089 | top5: 97.0982 
[epoch: 3] (31/391) | Loss: 1.0651 | top1: 64.9698 | top5: 97.1774 
[epoch: 3] (41/391) | Loss: 1.0568 | top1: 65.1867 | top5: 97.2180 
[epoch: 3] (51/391) | Loss: 1.0493 | top1: 65.2880 | top5: 97.0895 
[epoch: 3] (61/391) | Loss: 1.0363 | top1: 65.7147 | top5: 97.1183 
[epoch: 3] (71/391) | Loss: 1.0450 | top1: 65.4049 | top5: 97.1611 
[epoch: 3] (81/391) | Loss: 1.0505 | top1: 65.1042 | top5: 97.0293 
[epoch: 3] (91/391) | Loss: 1.0498 | top1: 64.9124 | top5: 97.0467 
[epoch: 3] (101/391) | Loss: 1.0519 | top1: 64.7819 | top5: 97.0529 
[epoch: 3] (111/391) | Loss: 1.0530 | top1: 64.5481 | top5: 97.0721 
[epoch: 3] (121/391) | Loss: 1.0599 | top1: 64.0108 | top5: 96.9202 
[epoch: 3] (131/391) | Loss: 1.0584 | top1: 64.0267 | top5: 96.9227 
[epoch: 3] (141/391) | Loss: 1.0615 | top1: 63.8575 | top5: 96.8861 
[epoch: 3] (151/391) | Loss: 1.0623 | top1: 63.8090 | top5: 96.9578 
[epoch: 3] (161/391) | Loss: 1.0633 | top1: 63.7277 | top5: 96.9720 
[epoch: 3] (171/391) | Loss: 1.0607 | top1: 63.8935 | top5: 97.0258 
[epoch: 3] (181/391) | Loss: 1.0570 | top1: 64.0668 | top5: 97.0692 
[epoch: 3] (191/391) | Loss: 1.0584 | top1: 64.0666 | top5: 97.0713 
[epoch: 3] (201/391) | Loss: 1.0575 | top1: 64.0975 | top5: 97.0616 
[epoch: 3] (211/391) | Loss: 1.0560 | top1: 64.2069 | top5: 97.0490 
[epoch: 3] (221/391) | Loss: 1.0556 | top1: 64.3206 | top5: 97.0447 
[epoch: 3] (231/391) | Loss: 1.0540 | top1: 64.3263 | top5: 97.0779 
[epoch: 3] (241/391) | Loss: 1.0483 | top1: 64.5163 | top5: 97.0922 
[epoch: 3] (251/391) | Loss: 1.0450 | top1: 64.7348 | top5: 97.1209 
[epoch: 3] (261/391) | Loss: 1.0436 | top1: 64.7839 | top5: 97.0935 
[epoch: 3] (271/391) | Loss: 1.0418 | top1: 64.9389 | top5: 97.0797 
[epoch: 3] (281/391) | Loss: 1.0406 | top1: 64.9828 | top5: 97.1002 
[epoch: 3] (291/391) | Loss: 1.0382 | top1: 65.0773 | top5: 97.1354 
[epoch: 3] (301/391) | Loss: 1.0389 | top1: 65.0618 | top5: 97.1294 
[epoch: 3] (311/391) | Loss: 1.0380 | top1: 65.0146 | top5: 97.1111 
[epoch: 3] (321/391) | Loss: 1.0367 | top1: 65.0896 | top5: 97.1232 
[epoch: 3] (331/391) | Loss: 1.0340 | top1: 65.1695 | top5: 97.1299 
[epoch: 3] (341/391) | Loss: 1.0314 | top1: 65.3157 | top5: 97.1362 
[epoch: 3] (351/391) | Loss: 1.0306 | top1: 65.3490 | top5: 97.1399 
[epoch: 3] (361/391) | Loss: 1.0294 | top1: 65.4043 | top5: 97.1628 
[epoch: 3] (371/391) | Loss: 1.0273 | top1: 65.4460 | top5: 97.1782 
[epoch: 3] (381/391) | Loss: 1.0273 | top1: 65.4487 | top5: 97.1600 
[epoch: 3] (391/391) | Loss: 1.0257 | top1: 65.4960 | top5: 97.1600 

Training Epoch: [4 | 200] LR: 0.050000
[epoch: 4] (1/391) | Loss: 0.8072 | top1: 78.9062 | top5: 97.6562 
[epoch: 4] (11/391) | Loss: 0.8773 | top1: 70.7386 | top5: 98.1534 
[epoch: 4] (21/391) | Loss: 0.8161 | top1: 73.9211 | top5: 98.3631 
[epoch: 4] (31/391) | Loss: 0.8258 | top1: 72.8579 | top5: 98.2611 
[epoch: 4] (41/391) | Loss: 0.8369 | top1: 72.6372 | top5: 98.3994 
[epoch: 4] (51/391) | Loss: 0.8397 | top1: 72.2426 | top5: 98.2843 
[epoch: 4] (61/391) | Loss: 0.8419 | top1: 72.0543 | top5: 98.1173 
[epoch: 4] (71/391) | Loss: 0.8433 | top1: 72.1061 | top5: 98.1954 
[epoch: 4] (81/391) | Loss: 0.8462 | top1: 72.1258 | top5: 98.1964 
[epoch: 4] (91/391) | Loss: 0.8517 | top1: 71.9952 | top5: 98.2057 
[epoch: 4] (101/391) | Loss: 0.8550 | top1: 71.9059 | top5: 98.2287 
[epoch: 4] (111/391) | Loss: 0.8556 | top1: 71.8257 | top5: 98.1982 
[epoch: 4] (121/391) | Loss: 0.8627 | top1: 71.6619 | top5: 98.1534 
[epoch: 4] (131/391) | Loss: 0.8611 | top1: 71.8511 | top5: 98.1632 
[epoch: 4] (141/391) | Loss: 0.8611 | top1: 71.7753 | top5: 98.1715 
[epoch: 4] (151/391) | Loss: 0.8612 | top1: 71.8233 | top5: 98.1685 
[epoch: 4] (161/391) | Loss: 0.8611 | top1: 71.7974 | top5: 98.1318 
[epoch: 4] (171/391) | Loss: 0.8599 | top1: 71.7471 | top5: 98.1405 
[epoch: 4] (181/391) | Loss: 0.8599 | top1: 71.7282 | top5: 98.1354 
[epoch: 4] (191/391) | Loss: 0.8599 | top1: 71.8218 | top5: 98.1185 
[epoch: 4] (201/391) | Loss: 0.8626 | top1: 71.5835 | top5: 98.0721 
[epoch: 4] (211/391) | Loss: 0.8599 | top1: 71.6973 | top5: 98.0746 
[epoch: 4] (221/391) | Loss: 0.8609 | top1: 71.6947 | top5: 98.0840 
[epoch: 4] (231/391) | Loss: 0.8610 | top1: 71.6552 | top5: 98.0587 
[epoch: 4] (241/391) | Loss: 0.8610 | top1: 71.5832 | top5: 98.0679 
[epoch: 4] (251/391) | Loss: 0.8610 | top1: 71.6011 | top5: 98.0609 
[epoch: 4] (261/391) | Loss: 0.8628 | top1: 71.5787 | top5: 98.0454 
[epoch: 4] (271/391) | Loss: 0.8625 | top1: 71.6098 | top5: 98.0627 
[epoch: 4] (281/391) | Loss: 0.8609 | top1: 71.6943 | top5: 98.0566 
[epoch: 4] (291/391) | Loss: 0.8616 | top1: 71.6468 | top5: 98.0375 
[epoch: 4] (301/391) | Loss: 0.8610 | top1: 71.6492 | top5: 98.0586 
[epoch: 4] (311/391) | Loss: 0.8606 | top1: 71.6313 | top5: 98.0557 
[epoch: 4] (321/391) | Loss: 0.8607 | top1: 71.6121 | top5: 98.0578 
[epoch: 4] (331/391) | Loss: 0.8595 | top1: 71.6767 | top5: 98.0740 
[epoch: 4] (341/391) | Loss: 0.8590 | top1: 71.6940 | top5: 98.0732 
[epoch: 4] (351/391) | Loss: 0.8571 | top1: 71.7726 | top5: 98.0725 
[epoch: 4] (361/391) | Loss: 0.8569 | top1: 71.7733 | top5: 98.0847 
[epoch: 4] (371/391) | Loss: 0.8569 | top1: 71.7086 | top5: 98.0711 
[epoch: 4] (381/391) | Loss: 0.8566 | top1: 71.7233 | top5: 98.0787 
[epoch: 4] (391/391) | Loss: 0.8566 | top1: 71.6840 | top5: 98.0720 

Training Epoch: [5 | 200] LR: 0.050000
[epoch: 5] (1/391) | Loss: 0.8265 | top1: 67.9688 | top5: 96.0938 
[epoch: 5] (11/391) | Loss: 0.7515 | top1: 75.0710 | top5: 98.4375 
[epoch: 5] (21/391) | Loss: 0.7462 | top1: 75.4836 | top5: 98.6235 
[epoch: 5] (31/391) | Loss: 0.7346 | top1: 75.9577 | top5: 98.5131 
[epoch: 5] (41/391) | Loss: 0.7238 | top1: 76.3148 | top5: 98.6280 
[epoch: 5] (51/391) | Loss: 0.7326 | top1: 76.2714 | top5: 98.6366 
[epoch: 5] (61/391) | Loss: 0.7352 | top1: 75.9606 | top5: 98.6552 
[epoch: 5] (71/391) | Loss: 0.7420 | top1: 76.0123 | top5: 98.6246 
[epoch: 5] (81/391) | Loss: 0.7387 | top1: 76.1285 | top5: 98.5822 
[epoch: 5] (91/391) | Loss: 0.7389 | top1: 76.1247 | top5: 98.5749 
[epoch: 5] (101/391) | Loss: 0.7413 | top1: 76.0829 | top5: 98.6077 
[epoch: 5] (111/391) | Loss: 0.7445 | top1: 75.9220 | top5: 98.5572 
