
Training Epoch: [1 | 200] LR: 0.000100
[epoch: 1] (1/469) | Loss: 2.7097 | top1: 7.8125 | top5: 43.7500 
[epoch: 1] (11/469) | Loss: 1.6919 | top1: 14.2756 | top5: 59.6591 
[epoch: 1] (21/469) | Loss: 1.2234 | top1: 19.2336 | top5: 71.4658 
[epoch: 1] (31/469) | Loss: 0.9574 | top1: 36.1391 | top5: 79.3851 
[epoch: 1] (41/469) | Loss: 0.8050 | top1: 48.4184 | top5: 84.3178 
[epoch: 1] (51/469) | Loss: 0.6992 | top1: 56.9700 | top5: 87.3162 
[epoch: 1] (61/469) | Loss: 0.6204 | top1: 63.1916 | top5: 89.3186 
[epoch: 1] (71/469) | Loss: 0.5590 | top1: 67.9137 | top5: 90.7901 
[epoch: 1] (81/469) | Loss: 0.5099 | top1: 71.4217 | top5: 91.9174 
[epoch: 1] (91/469) | Loss: 0.4723 | top1: 74.1587 | top5: 92.7970 
[epoch: 1] (101/469) | Loss: 0.4425 | top1: 76.3459 | top5: 93.5102 
[epoch: 1] (111/469) | Loss: 0.4147 | top1: 78.2024 | top5: 94.0878 
[epoch: 1] (121/469) | Loss: 0.3902 | top1: 79.7908 | top5: 94.5700 
[epoch: 1] (131/469) | Loss: 0.3709 | top1: 81.0890 | top5: 94.9666 
[epoch: 1] (141/469) | Loss: 0.3533 | top1: 82.2750 | top5: 95.3125 
[epoch: 1] (151/469) | Loss: 0.3394 | top1: 83.2419 | top5: 95.6126 
[epoch: 1] (161/469) | Loss: 0.3258 | top1: 84.1227 | top5: 95.8754 
[epoch: 1] (171/469) | Loss: 0.3161 | top1: 84.8547 | top5: 96.1120 
[epoch: 1] (181/469) | Loss: 0.3063 | top1: 85.5533 | top5: 96.3139 
[epoch: 1] (191/469) | Loss: 0.2954 | top1: 86.2156 | top5: 96.5069 
[epoch: 1] (201/469) | Loss: 0.2854 | top1: 86.8198 | top5: 96.6807 
[epoch: 1] (211/469) | Loss: 0.2765 | top1: 87.3556 | top5: 96.8380 
[epoch: 1] (221/469) | Loss: 0.2686 | top1: 87.8288 | top5: 96.9740 
[epoch: 1] (231/469) | Loss: 0.2610 | top1: 88.2812 | top5: 97.1050 
[epoch: 1] (241/469) | Loss: 0.2541 | top1: 88.7027 | top5: 97.2219 
[epoch: 1] (251/469) | Loss: 0.2472 | top1: 89.0967 | top5: 97.3325 
[epoch: 1] (261/469) | Loss: 0.2403 | top1: 89.4756 | top5: 97.4347 
[epoch: 1] (271/469) | Loss: 0.2345 | top1: 89.8120 | top5: 97.5294 
[epoch: 1] (281/469) | Loss: 0.2282 | top1: 90.1412 | top5: 97.6173 
[epoch: 1] (291/469) | Loss: 0.2231 | top1: 90.4371 | top5: 97.6938 
[epoch: 1] (301/469) | Loss: 0.2185 | top1: 90.6951 | top5: 97.7679 
[epoch: 1] (311/469) | Loss: 0.2139 | top1: 90.9415 | top5: 97.8371 
[epoch: 1] (321/469) | Loss: 0.2103 | top1: 91.1604 | top5: 97.9045 
[epoch: 1] (331/469) | Loss: 0.2059 | top1: 91.3921 | top5: 97.9678 
[epoch: 1] (341/469) | Loss: 0.2029 | top1: 91.5735 | top5: 98.0251 
[epoch: 1] (351/469) | Loss: 0.1996 | top1: 91.7601 | top5: 98.0814 
[epoch: 1] (361/469) | Loss: 0.1967 | top1: 91.9321 | top5: 98.1345 
[epoch: 1] (371/469) | Loss: 0.1940 | top1: 92.1075 | top5: 98.1848 
[epoch: 1] (381/469) | Loss: 0.1910 | top1: 92.2777 | top5: 98.2324 
[epoch: 1] (391/469) | Loss: 0.1876 | top1: 92.4532 | top5: 98.2777 
[epoch: 1] (401/469) | Loss: 0.1849 | top1: 92.5966 | top5: 98.3206 
[epoch: 1] (411/469) | Loss: 0.1823 | top1: 92.7387 | top5: 98.3596 
[epoch: 1] (421/469) | Loss: 0.1797 | top1: 92.8852 | top5: 98.3985 
[epoch: 1] (431/469) | Loss: 0.1771 | top1: 93.0231 | top5: 98.4357 
[epoch: 1] (441/469) | Loss: 0.1745 | top1: 93.1494 | top5: 98.4712 
[epoch: 1] (451/469) | Loss: 0.1722 | top1: 93.2702 | top5: 98.5051 
[epoch: 1] (461/469) | Loss: 0.1698 | top1: 93.4009 | top5: 98.5375 

Training Epoch: [2 | 200] LR: 0.000100
[epoch: 2] (1/469) | Loss: 0.0460 | top1: 100.0000 | top5: 100.0000 
[epoch: 2] (11/469) | Loss: 0.0464 | top1: 99.2188 | top5: 100.0000 
[epoch: 2] (21/469) | Loss: 0.0411 | top1: 99.3304 | top5: 100.0000 
[epoch: 2] (31/469) | Loss: 0.0391 | top1: 99.3700 | top5: 100.0000 
[epoch: 2] (41/469) | Loss: 0.0399 | top1: 99.3712 | top5: 100.0000 
[epoch: 2] (51/469) | Loss: 0.0395 | top1: 99.4179 | top5: 100.0000 
[epoch: 2] (61/469) | Loss: 0.0373 | top1: 99.4493 | top5: 100.0000 
[epoch: 2] (71/469) | Loss: 0.0384 | top1: 99.4278 | top5: 99.9780 
[epoch: 2] (81/469) | Loss: 0.0406 | top1: 99.4020 | top5: 99.9807 
[epoch: 2] (91/469) | Loss: 0.0404 | top1: 99.4076 | top5: 99.9828 
[epoch: 2] (101/469) | Loss: 0.0402 | top1: 99.4044 | top5: 99.9845 
[epoch: 2] (111/469) | Loss: 0.0401 | top1: 99.4158 | top5: 99.9859 
[epoch: 2] (121/469) | Loss: 0.0391 | top1: 99.4447 | top5: 99.9871 
[epoch: 2] (131/469) | Loss: 0.0391 | top1: 99.4394 | top5: 99.9881 
[epoch: 2] (141/469) | Loss: 0.0387 | top1: 99.4459 | top5: 99.9889 
[epoch: 2] (151/469) | Loss: 0.0382 | top1: 99.4516 | top5: 99.9897 
[epoch: 2] (161/469) | Loss: 0.0376 | top1: 99.4468 | top5: 99.9903 
[epoch: 2] (171/469) | Loss: 0.0380 | top1: 99.4563 | top5: 99.9863 
[epoch: 2] (181/469) | Loss: 0.0379 | top1: 99.4561 | top5: 99.9871 
[epoch: 2] (191/469) | Loss: 0.0375 | top1: 99.4560 | top5: 99.9877 
[epoch: 2] (201/469) | Loss: 0.0375 | top1: 99.4558 | top5: 99.9883 
